team,Max
China,2016.0
Denmark,2016.0
Denmark/Sweden,1900.0
Netherlands,2016.0
United States,2016.0
Finland,2016.0
Norway,2016.0
Romania,2016.0
Estonia,2016.0
France,2016.0
Taifun,1964.0
Morocco,2016.0
Spain,2016.0
Egypt,2016.0
Iran,2016.0
Bulgaria,2016.0
Italy,2016.0
Chad,2016.0
Azerbaijan,2016.0
Sudan,2016.0
Russia,2016.0
Argentina,2016.0
Cuba,2016.0
Belarus,2016.0
Greece,2016.0
Cameroon,2016.0
Turkey,2016.0
Chile,2016.0
Mexico,2016.0
Soviet Union,1988.0
Nicaragua,2016.0
Hungary,2016.0
Nigeria,2016.0
Algeria,2016.0
Kuwait,2012.0
Bahrain,2016.0
Pakistan,2016.0
Iraq,2016.0
United Arab Republic,1960.0
Lebanon,2016.0
Qatar,2016.0
Malaysia,2016.0
Germany,2016.0
Thessalonki-1,1906.0
Canada,2016.0
Ireland,2016.0
Australia,2016.0
South Africa,2016.0
Eritrea,2016.0
Tanzania,2016.0
Jordan,2016.0
Tunisia,2016.0
Libya,2016.0
Belgium,2016.0
Djibouti,2016.0
Palestine,2016.0
Comoros,2016.0
Kazakhstan,2016.0
Brunei,2016.0
India,2016.0
Saudi Arabia,2016.0
Syria,2016.0
Maldives,2016.0
Ethiopia,2016.0
United Arab Emirates,2016.0
North Yemen,1988.0
Indonesia,2016.0
Philippines,2016.0
Singapore,2016.0
Uzbekistan,2016.0
Kyrgyzstan,2016.0
Tajikistan,2016.0
Unified Team,1992.0
Japan,2016.0
Japan-1,2012.0
Congo (Brazzaville),2016.0
Switzerland,2016.0
Brazil,2016.0
West Germany,1988.0
East Germany,1988.0
Monaco,2016.0
Fornebo,1920.0
Israel,2016.0
Vesper Boat Club,1904.0
Uruguay,2016.0
Sweden,2016.0
United States Virgin Islands,2016.0
Sri Lanka,2016.0
Armenia,2016.0
Cote d'Ivoire,2016.0
Kenya,2016.0
Benin,2016.0
France-1,2016.0
Ukraine,2016.0
Great Britain,2016.0
Ghana,2016.0
Somalia,2016.0
Latvia,2016.0
Niger,2016.0
Mali,2016.0
Afghanistan,2016.0
Poland,2016.0
Costa Rica,2016.0
Panama,2016.0
Georgia,2016.0
Slovenia,2016.0
Croatia,2016.0
Russia-2,2016.0
Russia-1,2016.0
Guyana,2016.0
New Zealand,2016.0
Portugal,2016.0
Paraguay,2016.0
Angola,2016.0
Venezuela,2016.0
Colombia,2016.0
Bangladesh,2016.0
Peru,2016.0
El Salvador,2016.0
Puerto Rico,2016.0
France-2,2016.0
Uganda,2016.0
Switzerland-2,2016.0
Switzerland-1,2016.0
Honduras,2016.0
Ecuador,2016.0
Turkmenistan,2016.0
Mauritius,2016.0
Seychelles,2016.0
Czechoslovakia,1992.0
Great Britain-1,2016.0
Luxembourg,2016.0
Mauritania,2016.0
Czech Republic,2016.0
Saint Kitts and Nevis,2016.0
New York Athletic Club #2-4,1904.0
Trinidad and Tobago,2016.0
Dominican Republic,2016.0
Saint Vincent and the Grenadines,2016.0
Mystery,1936.0
Jamaica,2016.0
Liberia,2016.0
Suriname,2016.0
Nigeria-2,2004.0
Nepal,2016.0
Mongolia,2016.0
Germany-2,2016.0
Austria,2016.0
Clementine V,1964.0
Bylina-2,1912.0
